Startup,Industry,City,TotalFunding,FundingRounds,Stage,Status,Source,StatusCode
#fame,Media,Mumbai,10000000.0,1,Unknown,Safe,trikala_original,1
1000Lookz,Beauty,Chennai,1800000.0,1,Unknown,Safe,trikala_original,1
1CLICK,Chat,Bangalore,1800000.0,1,Unknown,Safe,trikala_original,1
21Diamonds,E-Commerce,Gurgaon,6369507.0,1,Unknown,Safe,trikala_original,1
24x7 Learning,Edtech,Bangalore,4000000.0,1,Unknown,Safe,trikala_original,1
33Coupons,Internet,Kanpur,20000.0,1,Unknown,Safe,trikala_original,1
3DSoC,3D,Bangalore,2065000.0,2,Unknown,Safe,trikala_original,1
91Mobiles,Mobile,Gurgaon,1000000.0,1,Unknown,Safe,trikala_original,1
99Games Online Private Limited,Games,Udupi,1800000.0,1,Unknown,Safe,trikala_original,1
99Presents,E-Commerce,Vadodara,20000.0,1,Unknown,Safe,trikala_original,1
99tests,Software,Bangalore,210000.0,3,Unknown,Safe,trikala_original,1
A LITTLE WORLD,Finance,Mumbai,6410000.0,1,Unknown,Safe,trikala_original,1
Aasaanjobs,Consulting,Mumbai,3100000.0,2,Unknown,Safe,trikala_original,1
ABC Live,Advertising,Chandigarh,25000.0,1,Unknown,Failed,trikala_original,0
Abhinav Outsourcings Pvt. Ltd,Business Services,Delhi,1800000.0,1,Unknown,Safe,trikala_original,1
Sportskeeda,Crowdsourcing,Bangalore,1220000.0,2,Unknown,Safe,trikala_original,1
ACB (India) Limited,Energy,Gurgaon,25090000.0,1,Unknown,Safe,trikala_original,1
Accendo Technologies,Software,Hyderabad,1560000.0,1,Unknown,Safe,trikala_original,1
Accentium Web,Curated Web,Gurgaon,2000000.0,1,Unknown,Safe,trikala_original,1
Acision,Mobile,Gurgaon,100000000.0,1,Unknown,Safe,trikala_original,1
ACT (Atria Convergence Technologies Pvt. Ltd.),Internet Service Providers,Bangalore,500000000.0,1,Unknown,Safe,trikala_original,1
actstack,Cloud Management,Hyderabad,1800000.0,1,Unknown,Safe,trikala_original,1
AddressHealth,Child Care,Bangalore City,1800000.0,1,Unknown,Safe,trikala_original,1
Adhysteria,Classifieds,Mumbai,10000.0,1,Unknown,Failed,trikala_original,0
Adlabs Imagica,Entertainment,Khopoli,8180000.0,1,Unknown,Safe,trikala_original,1
AdPushup,Advertising Platforms,Delhi,632000.0,2,Unknown,Safe,trikala_original,1
AdStringO,Software,Mumbai,350000.0,1,Unknown,Safe,trikala_original,1
Adurcup,Advertising,Delhi,1800000.0,1,Unknown,Safe,trikala_original,1
AdWyze,Advertising,Bangalore,1000000.0,1,Unknown,Safe,trikala_original,1
Affine Analytics,Analytics,Bangalore,100000.0,1,Unknown,Safe,trikala_original,1
Agile,Finance,Mumbai,5740000.0,1,Unknown,Safe,trikala_original,1
Agrostar,E-Commerce,Pune,4000000.0,1,Unknown,Safe,trikala_original,1
AHA Taxis,Tracking,Kanpur,1800000.0,1,Unknown,Safe,trikala_original,1
Ahmedabad Business Pages,Advertising,Ahmedabad,3201.0,1,Unknown,Safe,trikala_original,1
Airwoot,Analytics,Delhi,1800000.0,1,Unknown,Safe,trikala_original,1
Aisle,Match-Making,Bangalore,100000.0,1,Unknown,Safe,trikala_original,1
Ajahn,Edtech,Hyderabad,100000.0,1,Unknown,Safe,trikala_original,1
Akosha,Consumer Internet,Delhi,21200000.0,3,Unknown,Safe,trikala_original,1
Allied Digital Services,Consulting,Mumbai,175000.0,1,Unknown,Safe,trikala_original,1
AllizHealth,Health And Wellness,Pune,350000.0,1,Unknown,Safe,trikala_original,1
offerdunia.in,E-Commerce,Gurgaon,1500000.0,1,Unknown,Safe,trikala_original,1
Allygrow Technologies,Aerospace,Pune,20000000.0,1,Unknown,Safe,trikala_original,1
AlmaMapper,Internet,Pune,400000.0,1,Unknown,Safe,trikala_original,1
AlphaBeta Labs,Analytics,Bangalore,40000.0,1,Unknown,Safe,trikala_original,1
Alsbridge,Bpo Services,Gurgaon,1800000.0,1,Unknown,Failed,trikala_original,0
Althea Systems,Hardware + Software,Bangalore,3000000.0,1,Unknown,Safe,trikala_original,1
Altizon Systems,Software,Pune,1800000.0,1,Unknown,Safe,trikala_original,1
Amagi Media Labs,Advertising,Bangalore,5500000.0,2,Unknown,Safe,trikala_original,1
Ameyo,Software,Gurgaon,5000000.0,1,Unknown,Safe,trikala_original,1
Amicus,Apps,Delhi,18015.0,2,Unknown,Safe,trikala_original,1
Amigobulls,Finance,Bangalore,1800000.0,1,Unknown,Safe,trikala_original,1
Ampere,Electric Vehicles,Coimbatore,1800000.0,1,Unknown,Safe,trikala_original,1
Anakage,Software,Bangalore,1800000.0,1,Unknown,Safe,trikala_original,1
Prime Venture Partners,Finance,Bangalore,1800000.0,1,Unknown,Safe,trikala_original,1
Ola,Automotive,Kolkata,1176830000.0,7,Unknown,Safe,trikala_original,1
Aniika,E-Commerce,Bangalore,500000.0,2,Unknown,Safe,trikala_original,1
Annapurna Microfinace,Finance,Bhubaneswar,9200000.0,2,Unknown,Safe,trikala_original,1
ANT Farm,Networking,Pune,22000.0,1,Unknown,Safe,trikala_original,1
AntFarm,Digital Media,Mumbai,1800000.0,1,Unknown,Safe,trikala_original,1
Anunta Technology Management Services,Enterprise Software,Mumbai,3000000.0,1,Unknown,Safe,trikala_original,1
Apalya,Content,Hyderabad,18500000.0,3,Unknown,Safe,trikala_original,1
Apartment Adda,E-Commerce,Bangalore,1800000.0,1,Unknown,Safe,trikala_original,1
ApnaPaisa,Credit,Mumbai,17200000.0,2,Unknown,Safe,trikala_original,1
Appdra,Software,Bangalore,1500000.0,1,Unknown,Safe,trikala_original,1
AppLabs,Software,Hyderabad,10000000.0,1,Unknown,Safe,trikala_original,1
Applect Learning Systems Pvt. Ltd.,Education,Delhi,5600000.0,2,Unknown,Safe,trikala_original,1
Applicate,Information Technology,Delhi,549964.0,1,Unknown,Safe,trikala_original,1
Applied Life,Human Resources,Noida,1800000.0,1,Unknown,Safe,trikala_original,1
Applied solar Technologies,Concentrated Solar Power,Delhi,40000000.0,1,Unknown,Safe,trikala_original,1
Appointy,Online Scheduling,Bhopal,1800000.0,1,Unknown,Safe,trikala_original,1
Appsdaily Solutions,Software,Mumbai,20900000.0,2,Unknown,Safe,trikala_original,1
AppSurfer,Advertising,Pune,200000.0,1,Unknown,Safe,trikala_original,1
Apt Opinion,Consulting,Trivandrum,1800000.0,1,Unknown,Safe,trikala_original,1
Ariisto,Real Estate,Andheri,54000000.0,2,Unknown,Safe,trikala_original,1
Arohan Financial,Finance,Kolkata,3500000.0,1,Unknown,Safe,trikala_original,1
Array Storm,Consumer Electronics,Bangalore,1800000.0,1,Unknown,Safe,trikala_original,1
ArrayShield,Network Security,Chennai,1800000.0,1,Unknown,Safe,trikala_original,1
ArthaYantra,Finance,Hyderabad,1800000.0,1,Unknown,Safe,trikala_original,1
ArticleAlley,Journalism,Gurgaon,1000000.0,1,Unknown,Safe,trikala_original,1
Artoo,Finance,Bangalore,630000.0,3,Unknown,Safe,trikala_original,1
Aspiring Minds,Education,Gurgaon,1800000.0,1,Unknown,Safe,trikala_original,1
Atarw Technologies,Information Technology,Bangalore,2000000.0,1,Unknown,Safe,trikala_original,1
Ather Energy,Automotive,Bangalore,13000000.0,2,Unknown,Safe,trikala_original,1
atOnePlace.com,Real Estate,Noida,250000.0,1,Unknown,Safe,trikala_original,1
Atria Brindavan Power,Clean Technology,Bangalore,8600000.0,1,Unknown,Safe,trikala_original,1
Attero,Clean Technology,Noida,28600000.0,4,Unknown,Safe,trikala_original,1
Attify Inc.,Cloud Security,Bangalore,1800000.0,1,Unknown,Safe,trikala_original,1
Au FINANCIERS,E-Commerce,Jaipur,21000000.0,1,Unknown,Safe,trikala_original,1
AudioCompass,Guides,Mumbai,400000.0,1,Unknown,Safe,trikala_original,1
Aujas Networks,Security,Bangalore,11000000.0,3,Unknown,Safe,trikala_original,1
Auro Mira Energy,Clean Technology,Chennai,21000000.0,1,Unknown,Safe,trikala_original,1
authorSTREAM.com,Collaboration,Chandigarh,5000000.0,1,Unknown,Safe,trikala_original,1
Autoportal.com,Automotive,Gurgaon,1800000.0,1,Unknown,Failed,trikala_original,0
Auzzaar,Consumer Goods,Delhi,50000.0,1,Unknown,Safe,trikala_original,1
Avanse Financial Services,Education,Mumbai,2300000.0,1,Unknown,Safe,trikala_original,1
Avantha,Hardware + Software,Delhi,150000000.0,1,Unknown,Safe,trikala_original,1
Avaz,Apps,Chennai,550000.0,1,Unknown,Safe,trikala_original,1
Avekshaa Technologies,Enterprise Software,Bangalore,500000.0,1,Unknown,Safe,trikala_original,1
Avesthagen,Biotechnology,Bangalore,5530000.0,1,Unknown,Safe,trikala_original,1
Awaaz De,Internet,Ahmedabad,1800000.0,1,Unknown,Safe,trikala_original,1
AxisRooms,Saas,Bangalore,1800000.0,1,Unknown,Safe,trikala_original,1
Aye Finance,Financial Services,Delhi,1000000.0,1,Unknown,Safe,trikala_original,1
Azure Hospitality,Hospitality,Delhi,10000000.0,1,Unknown,Safe,trikala_original,1
Azure Power,Clean Technology,Delhi,47200000.0,6,Unknown,Safe,trikala_original,1
Babajob,Curated Web,Bangalore,10000000.0,2,Unknown,Safe,trikala_original,1
BabyChakra,Information Technology,Mumbai,600000.0,1,Unknown,Safe,trikala_original,1
Babyoye,E-Commerce,Mumbai,2500000.0,2,Unknown,Safe,trikala_original,1
Backpacker Panda Holidays Private Limited,Service Providers,Pune,156858.0,1,Unknown,Safe,trikala_original,1
Bakers Circle,Food Processing,Delhi,9600000.0,1,Unknown,Safe,trikala_original,1
BankBazaar.com,Credit Cards,Chennai,79000000.0,3,Unknown,Safe,trikala_original,1
BankerBay Technologies,Finance,Bangalore,3000000.0,2,Unknown,Safe,trikala_original,1
Bargain Technologies,Discounts,Delhi,198216.0,1,Unknown,Safe,trikala_original,1
barter.li,Education,Kormangala,2500.0,2,Unknown,Safe,trikala_original,1
Baxi,Unknown,Gurgaon,1500000.0,1,Unknown,Safe,trikala_original,1
Bay Talkitec (P),Messaging,Chennai,2500000.0,1,Unknown,Safe,trikala_original,1
Bedbathmore.com,E-Commerce,Mumbai,1800000.0,1,Unknown,Safe,trikala_original,1
Belita,Fashion,Mumbai,375000.0,1,Unknown,Safe,trikala_original,1
Belong,Internet,Bangalore,5000000.0,1,Unknown,Safe,trikala_original,1
Ben Franklin,Consumer Goods,Secunderabad,640000.0,1,Unknown,Safe,trikala_original,1
Bestdealfinance,Financial Services,Mumbai,3000000.0,1,Unknown,Safe,trikala_original,1
beStylish.com,E-Commerce,Gurgaon,10000000.0,1,Unknown,Failed,trikala_original,0
BetterButter,Food Processing,Delhi,1800000.0,1,Unknown,Safe,trikala_original,1
BevyJobs.com & BevyTalent.com,Analytics,Bangalore,1800000.0,2,Unknown,Safe,trikala_original,1
Bewakoof,Fashion,Ghatkopar,1800000.0,1,Unknown,Safe,trikala_original,1
Bharat Light and Power Group,Clean Technology,Gurgaon,15350000.0,2,Unknown,Safe,trikala_original,1
Bharat Matrimony,Curated Web,Chennai,11750000.0,1,Unknown,Safe,trikala_original,1
BIBA Apparels,E-Commerce,Delhi,48600000.0,1,Unknown,Safe,trikala_original,1
Bibox,Unknown,Bangalore,530000.0,1,Unknown,Safe,trikala_original,1
